acteur_id,nom,prenom,civilite,trigramme,date_naissance,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,groupe_couleur,position_politique,circonscription_numero,departement,profession,uri_hatvp,an_legislatures,senat_active
PA610002,Sas,Eva,Mme,ESA,1970-08-13,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,8,Paris,Cadre supérieur du secteur privé,https://www.hatvp.fr/pages_nominatives/sas-eva,17,False
PA610654,Nilor,Jean-Philippe,M.,JNI,1965-05-15,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,4,Martinique,Collaborateur parlementaire,https://www.hatvp.fr/pages_nominatives/nilor-jean-philippe,17,False
PA610968,Amirshahi,Pouria,M.,PAM,1972-03-27,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,5,Paris,Cadre territorial de catégorie A,https://www.hatvp.fr/pages_nominatives/amirshahi-pouria,17,False
PA642695,Bothorel,Éric,M.,EBO,1966-10-20,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,5,Côtes-d'Armor,Cadre supérieur (secteur privé),https://www.hatvp.fr/pages_nominatives/bothorel-eric,17,False
PA642725,Liégeon,Eric,M.,eli,1961-01-24,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,5,Doubs,Exploitant agricole,https://www.hatvp.fr/pages_nominatives/liegeon-eric-28144,17,False
PA642764,Aviragnet,Joël,M.,JAV,1956-06-16,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,8,Haute-Garonne,Directeur d'un établissement pour l'enfance handicapée,https://www.hatvp.fr/pages_nominatives/aviragnet-joel,17,False
PA642847,Bazin,Thibault,M.,TBA,1984-10-27,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,4,Meurthe-et-Moselle,Autre cadre (secteur privé),https://www.hatvp.fr/pages_nominatives/bazin-thibault,17,False
PA642935,Becht,Olivier,M.,OBE,1976-04-28,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,5,Haut-Rhin,Magistrat,https://www.hatvp.fr/pages_nominatives/becht-olivier,17,False
PA642988,de Lépinau,Hervé,M.,HLE,1969-06-08,PO845401,RN,Rassemblement National,RN,#313567,,3,Vaucluse,Avocat,https://www.hatvp.fr/pages_nominatives/de-lepinau-herve-24309,17,False
PA643089,Thiériot,Jean-Louis,M.,JLH,1969-06-26,PO845425,DR,Droite Républicaine,DR,#8CB0DC,,3,Seine-et-Marne,Sans profession déclarée,https://www.hatvp.fr/pages_nominatives/thieriot-jean-louis,17,False
