matricule,dim1,dim2,nom,prenom,groupe_code,groupe_libelle_court,circonscription_libelle,siege,url,url_avatar,full_name,dim1_raw,dim2_raw
19545Y,0.09495193410792113,0.15333722008956285,Capus,Emmanuel,RTLI,Les Indépendants,Maine-et-Loire,254,https://www.senat.fr/senateur/capus_emmanuel19545y.html,https://www.senat.fr/senimg/capus_emmanuel19545y_carre.jpg,Emmanuel Capus,0.09495193410792113,0.2718745037048987
19551W,-0.8441723886895708,0.0424419383718712,Jacquin,Olivier,SOC,SER,Meurthe-et-Moselle,298,https://www.senat.fr/senateur/jacquin_olivier19551w.html,https://www.senat.fr/senimg/jacquin_olivier19551w_carre.jpg,Olivier Jacquin,-0.8441723886895708,0.07525166377991348
19563B,0.055020684884168766,0.1329055259501017,Menonville,Franck,UC,UC,Meuse,166,https://www.senat.fr/senateur/menonville_franck19563b.html,https://www.senat.fr/senimg/menonville_franck19563b_carre.jpg,Franck Menonville,0.055020684884168766,0.2356480956562087
19565D,-0.6668874985208126,-0.10262243184737403,Gréaume,Michelle,CRC,CRCE-K,Nord,184,https://www.senat.fr/senateur/greaume_michelle19565d.html,https://www.senat.fr/senimg/greaume_michelle19565d_carre.jpg,Michelle Gréaume,-0.6668874985208126,-0.18195466639605326
19569H,0.20624073754754452,0.09909633742254752,Henno,Olivier,UC,UC,Nord,208,https://www.senat.fr/senateur/henno_olivier19569h.html,https://www.senat.fr/senimg/henno_olivier19569h_carre.jpg,Olivier Henno,0.20624073754754452,0.1757027259265027
19573D,0.6724181005103136,-0.027399652446081786,Paccaud,Olivier,UMP,Les Républicains,Oise,98,https://www.senat.fr/senateur/paccaud_olivier19573d.html,https://www.senat.fr/senimg/paccaud_olivier19573d_carre.jpg,Olivier Paccaud,0.6724181005103136,-0.0485809440533365
19575F,0.6170364504393306,6.791393164195939e-4,Berthet,Martine,UMP,Les Républicains,Savoie,33,https://www.senat.fr/senateur/berthet_martine19575f.html,https://www.senat.fr/senimg/berthet_martine19575f_carre.jpg,Martine Berthet,0.6170364504393306,0.0012041477241482162
19585H,0.08652772657738508,0.143667952599747,Wattebled,Dany,RTLI,Les Indépendants,Nord,314,https://www.senat.fr/senateur/wattebled_dany19585h.html,https://www.senat.fr/senimg/wattebled_dany19585h_carre.jpg,Dany Wattebled,0.08652772657738508,0.25473041241089894
19591F,-0.3284464976845727,0.32176771721349456,Iacovelli,Xavier,LREM,RDPI,Hauts-de-Seine,78,https://www.senat.fr/senateur/iacovelli_xavier19591f.html,https://www.senat.fr/senimg/iacovelli_xavier19591f_carre.jpg,Xavier Iacovelli,-0.3284464976845727,0.5705101369033592
19593H,-0.67033196715408,-0.09463573641132257,Ouzoulias,Pierre,CRC,CRCE-K,Hauts-de-Seine,183,https://www.senat.fr/senateur/ouzoulias_pierre19593h.html,https://www.senat.fr/senimg/ouzoulias_pierre19593h_carre.jpg,Pierre Ouzoulias,-0.67033196715408,-0.16779385888532372
19611R,0.215909063040832,0.09376973889037375,Lafon,Laurent,UC,UC,Val-de-Marne,52,https://www.senat.fr/senateur/lafon_laurent19611r.html,https://www.senat.fr/senimg/lafon_laurent19611r_carre.jpg,Laurent Lafon,0.215909063040832,0.16625840228789673
19619A,0.15782849838080443,0.10071356224382175,Saint-Pé,Denise,UC,UC,Pyrénées-Atlantiques,160,https://www.senat.fr/senateur/saint_pe_denise19619a.html,https://www.senat.fr/senimg/saint_pe_denise19619a_carre.jpg,Denise Saint-Pé,0.15782849838080443,0.178570145822379
