acteur_id,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique
PA841645,Bernhardt,Théo,PO845401,RN,Rassemblement National,RN,M.,TBR,8,Bas-Rhin,Ingénieur de recherche,https://www.hatvp.fr/pages_nominatives/bernhardt-theo-27503,#313567,
PA841657,Belouassa-Cherifi,Anaïs,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,Mme,ABL,1,Rhône,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/belouassa-cherifi-anais-27471,#C00D0D,
PA841665,Fégné,Denis,PO845419,SOC,Socialistes et apparentés,SOC,M.,DFE,2,Hautes-Pyrénées,(74) - Ancien cadre,https://www.hatvp.fr/pages_nominatives/fegne-denis,#F5B4CE,
PA841681,Sother,Thierry,PO845419,SOC,Socialistes et apparentés,SOC,M.,TSO,3,Bas-Rhin,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/sother-thierry-27455,#F5B4CE,
PA841701,Balage El Mariky,Léa,PO845439,ECOS,Écologiste et Social,EcoS,Mme,LBL,3,Paris,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/balage-el-mariky-lea-27449,#77AA79,
PA841713,Tavernier,Boris,PO845439,ECOS,Écologiste et Social,EcoS,M.,BTA,2,Rhône,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/tavernier-boris-27461,#77AA79,
PA841717,Runel,Sandrine,PO845419,SOC,Socialistes et apparentés,SOC,Mme,SRU,4,Rhône,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/runel-sandrine-20016,#F5B4CE,
PA841729,Lahmar,Abdelkader,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,M.,ALA,7,Rhône,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/lahmar-abdelkader-27452,#C00D0D,
PA841737,Gery,Jonathan,PO845401,RN,Rassemblement National,RN,M.,JGY,8,Rhône,(53) - Policier et militaire,https://www.hatvp.fr/pages_nominatives/gery-jonathan-27426,#313567,
PA841749,Joncour,Tiffany,PO845401,RN,Rassemblement National,RN,Mme,TJO,13,Rhône,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/joncour-tiffany-27441,#313567,
PA841761,Dutremble,Aurélien,PO845401,RN,Rassemblement National,RN,M.,ADT,3,Saône-et-Loire,(47) - Technicien hospitalier,https://www.hatvp.fr/pages_nominatives/dutremble-aurelien-27501,#313567,
PA841769,Michoux,Éric,PO872880,UDDPLR,Union des droites pour la République,UDR,M.,EMI,4,Saône-et-Loire,(23) - Chef d'entreprise de 10 salariés ou plus,https://www.hatvp.fr/pages_nominatives/michoux-eric-27505,#3367A7,
PA841801,Carteron,Danièle,PO845407,EPR,Ensemble pour la République,EPR,Mme,DCA,2,Haute-Savoie,Cheffe d'entreprise,https://www.hatvp.fr/pages_nominatives/carteron-daniele-28147,#7B4591,
PA841813,Herouin-Léautey,Florence,PO845419,SOC,Socialistes et apparentés,SOC,Mme,FHE,1,Seine-Maritime,(33) - Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/herouin-leautey-florence,#F5B4CE,
PA841825,Martin,Patrice,PO845401,RN,Rassemblement National,RN,M.,PMR,6,Seine-Maritime,(11) - Agriculteur sur petite exploitation,https://www.hatvp.fr/pages_nominatives/martin-patrice-27490,#313567,
PA841837,Le Bourgeois,Robert,PO845401,RN,Rassemblement National,RN,M.,RBO,10,Seine-Maritime,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/le-bourgeois-robert-27460,#313567,
PA841845,Saint-Martin,Arnaud,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,M.,ASN,1,Seine-et-Marne,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/saint-martin-arnaud-27422,#C00D0D,
PA841853,Hervieu,Céline,PO845419,SOC,Socialistes et apparentés,SOC,Mme,CHR,11,Paris,(31) - Profession libérale,https://www.hatvp.fr/pages_nominatives/hervieu-celine-21742,#F5B4CE,
PA841873,Limongi,Julien,PO845401,RN,Rassemblement National,RN,M.,JLI,4,Seine-et-Marne,(74) - Ancien cadre,https://www.hatvp.fr/pages_nominatives/limongi-julien-27485,#313567,
PA841885,Bonnet,Arnaud,PO845439,ECOS,Écologiste et Social,EcoS,M.,ABN,8,Seine-et-Marne,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/bonnet-arnaud-27515,#77AA79,
PA841893,Thiébault-Martinez,Céline,PO845419,SOC,Socialistes et apparentés,SOC,Mme,CTH,9,Seine-et-Marne,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/thiebault-martinez-celine-27466,#F5B4CE,
PA841919,Diop,Dieynaba,PO845419,SOC,Socialistes et apparentés,SOC,Mme,DDI,9,Yvelines,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/diop-dieynaba-27493,#F5B4CE,
PA841927,Ronceret,Anne-Sophie,PO845407,EPR,Ensemble pour la République,EPR,Mme,ARO,10,Yvelines,Collaboratrice parlementaire,https://www.hatvp.fr/pages_nominatives/ronceret-anne-sophie-26732,#7B4591,
PA841931,Mazaury,Laurent,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,M.,LMA,11,Yvelines,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/mazaury-laurent-21279,#FFD96F,
PA841947,Hamdane,Zahia,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,Mme,ZHA,2,Somme,(43) - Profession intermédiaire de la santé et du travail social,https://www.hatvp.fr/pages_nominatives/hamdane-zahia-27436,#C00D0D,
PA841955,Renault,Matthias,PO845401,RN,Rassemblement National,RN,M.,MRN,3,Somme,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/renault-matthias-27415,#313567,
PA841973,Carbonnel,Pierre-Henri,PO872880,UDDPLR,Union des droites pour la République,UDR,M.,PHCA,1,Tarn-et-Garonne,Agriculteur,https://www.hatvp.fr/pages_nominatives/carbonnel-pierre-henri-29796,#3367A7,
