acteur_id,dim1,dim2,nom,prenom,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,civilite,trigramme,circonscription_numero,departement,profession,uri_hatvp,groupe_couleur,position_politique,full_name
PA840915,0.8088570750871119,-0.08631797048489862,Monnier,Thibaut,PO845401,RN,Rassemblement National,RN,M.,TMO,4,Drôme,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/monnier-thibaut-27508,#313567,,Thibaut Monnier
PA840939,-0.5638096072842815,0.12396070619154961,Godard,Océane,PO845419,SOC,Socialistes et apparentés,SOC,Mme,OGO,1,Côte-d'Or,Psychologue du travail,https://www.hatvp.fr/pages_nominatives/godard-oceane,#F5B4CE,,Océane Godard
PA840947,-0.7158372655549764,-0.06711041482376451,Hervieu,Catherine,PO845439,ECOS,Écologiste et Social,EcoS,Mme,CHE,2,Côte-d'Or,Psychologue scolaire,https://www.hatvp.fr/pages_nominatives/hervieu-catherine,#77AA79,,Catherine Hervieu
PA840955,-0.553500110772165,0.09071691645649742,Pribetich,Pierre,PO845419,SOC,Socialistes et apparentés,SOC,M.,PPR,3,Côte-d'Or,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/pribetich-pierre,#F5B4CE,,Pierre Pribetich
PA840967,0.654226526721463,-0.06712323102310101,Lioret,René,PO845401,RN,Rassemblement National,RN,M.,RLI,5,Côte-d'Or,(74) - Ancien cadre,https://www.hatvp.fr/pages_nominatives/lioret-rene-27486,#313567,,René Lioret
PA840979,0.34843150019641356,0.28517114056624454,Le Fur,Corentin,PO845425,DR,Droite Républicaine,DR,M.,CFU,3,Côtes-d'Armor,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/le-fur-corentin-27464,#8CB0DC,,Corentin Le Fur
PA840983,0.7507426700466978,0.04792389578886621,Lenoir,Bartolomé,PO872880,UDDPLR,Union des droites pour la République,UDR,M.,BLE,1,Creuse,(37) - Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/lenoir-bartolome-27481,#3367A7,,Bartolomé Lenoir
PA840997,-0.708041084344041,-0.11591476997383561,Biteau,Benoît,PO845439,ECOS,Écologiste et Social,EcoS,M.,BBT,2,Charente-Maritime,(12) - Agriculteur sur moyenne exploitation,https://www.hatvp.fr/pages_nominatives/biteau-benoit-9623,#77AA79,,Benoît Biteau
PA841017,-0.04139039733593121,0.19338317351481452,Huwart,Harold,PO845485,LIOT,"Libertés, Indépendants, Outre-mer et Territoires",LIOT,M.,HHU,3,Eure-et-Loir,Administrateur de l'État,https://www.hatvp.fr/pages_nominatives/huwart-harold,#FFD96F,,Harold Huwart
PA841023,-0.8450682262547604,-0.36524440795559454,Cadalen,Pierre-Yves,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,M.,PCL,2,Finistère,"(34) - Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/cadalen-pierre-yves-27448,#C00D0D,,Pierre-Yves Cadalen
PA841047,0.33658319984975993,0.19220149864211214,Ceccoli,François-Xavier,PO845425,DR,Droite Républicaine,DR,M.,FCE,2,Haute-Corse,(23) - Chef d'entreprise de 10 salariés ou plus,https://www.hatvp.fr/pages_nominatives/ceccoli-francois-xavier-27454,#8CB0DC,,François-Xavier Ceccoli
PA841059,0.6547158253915162,-0.023530243795491103,Dellong Meng,Catherine,PO845401,RN,Rassemblement National,RN,Mme,CDEL,3,Gard,Cadre territoriale de la fonction publique retraitée,https://www.hatvp.fr/pages_nominatives/dellong-meng-catherine-30332,#313567,,Catherine Dellong Meng
