acteur_id,nom,prenom,civilite,trigramme,groupe_organe_ref,groupe_code,groupe_libelle,groupe_libelle_court,groupe_couleur,position_politique,circonscription_numero,departement,profession,uri_hatvp
PA795390,Lalanne,Sandrine,Mme,SLAL,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,5,Val-de-Marne,Sans profession déclarée,https://www.hatvp.fr/pages_nominatives/lalanne-sandrine-29922
PA795402,Coggia,Nathalie,Mme,NCOG,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,5,Français établis hors de France,Directrice financière et des opérations,https://www.hatvp.fr/pages_nominatives/coggia-nathalie-29798
PA795410,Roullaud,Béatrice,Mme,BRO,PO845401,RN,Rassemblement National,RN,#313567,,6,Seine-et-Marne,Profession libérale,https://www.hatvp.fr/pages_nominatives/roullaud-beatrice-24224
PA795422,Maudet,Damien,M.,DMU,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,1,Haute-Vienne,Cadre administratif et commercial d'entreprise,https://www.hatvp.fr/pages_nominatives/maudet-damien-24300
PA795430,Delautrette,Stéphane,M.,SDE,PO845419,SOC,Socialistes et apparentés,SOC,#F5B4CE,,2,Haute-Vienne,Ingénieur dans le domaine de l'environnement,https://www.hatvp.fr/pages_nominatives/delautrette-stephane-22744
PA795454,Ben Cheikh,Karim,M.,KBE,PO845439,ECOS,Écologiste et Social,EcoS,#77AA79,,9,Français établis hors de France,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/ben-cheikh-karim-24152
PA795466,Soudais,Ersilia,Mme,ESO,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,7,Seine-et-Marne,"Professeur, profession scientifique",https://www.hatvp.fr/pages_nominatives/soudais-ersilia-24325
PA795482,Meunier,Manon,Mme,MMU,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,3,Haute-Vienne,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/meunier-manon-24142
PA795516,Laisney,Maxime,M.,MLA,PO845413,LFI-NFP,La France insoumise - Nouveau Front Populaire,LFI-NFP,#C00D0D,,10,Seine-et-Marne,"Professeur des écoles, instituteur et assimilé",https://www.hatvp.fr/pages_nominatives/laisney-maxime-24231
PA795528,Rodwell,Charles,M.,CRD,PO845407,EPR,Ensemble pour la République,EPR,#7B4591,,1,Yvelines,Cadre de la fonction publique,https://www.hatvp.fr/pages_nominatives/rodwell-charles-24279
